Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Price (in USD million), Price/Dose (in USD) ,Buyer/recipient,Region,Income level," GNI per capita, Atlas method (current US$) "," GNI, Atlas method (current US$) ", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Combination,Yes,JCR Pharma,Japan,120.000,30 m by March of 2021,Not available,,Japan,East Asia & Pacific,High income," 41,710.00 "," 5,266,925,796,679.99 "," 126,264,931.00 ",126.26,0.950,47.52%,JCR pharma has been licensed to make 90m while the other 30m will be provided by AstraZeneca produced overseas,https://asia.nikkei.com/Spotlight/Coronavirus/Japan-to-produce-90m-doses-of-AstraZeneca-COVID-19-vaccine; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_AstraZeneca_Japan.pdf
Moderna,United States,Approved,2,Government Purchase,Yes,Takeda [distributor],Japan,50.000,,Not available,,Japan,East Asia & Pacific,High income," 41,710.00 "," 5,266,925,796,679.99 "," 126,264,931.00 ",126.26,0.396,19.80%,,https://investors.modernatx.com/news-releases/news-release-details/moderna-partners-takeda-and-government-japan-supply-50-million
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,144.000,,Not available,,Japan,East Asia & Pacific,High income," 41,710.00 "," 5,266,925,796,679.99 "," 126,264,931.00 ",126.26,1.140,57.02%,"Most early sources report 120 million doses, but multiple more recent sources report 144 million doses through the end of 2021",https://asia.nikkei.com/Spotlight/Coronavirus/Japan-to-produce-90m-doses-of-AstraZeneca-COVID-19-vaccine; https://www.pfizer.com/news/press-release/press-release-detail/pfizer-and-biontech-supply-japan-120-million-doses-their ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_Pfizer-BioNTech_Japan.pdf
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,2.000,,Not available,,Jordan,Middle East & North Africa,Upper middle income," 4,410.00 "," 44,542,115,024.96 "," 10,101,694.00 ",10.10,0.198,9.90%,Details of the arrangement are few and the doses have only been reported by ArabNews,https://www.arabnews.com/node/1828091/middle-east
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,2.000,,Not available,,Jordan,Middle East & North Africa,Upper middle income," 4,410.00 "," 44,542,115,024.96 "," 10,101,694.00 ",10.10,0.198,9.90%,Details of the arrangement are few and the doses have only been reported by ArabNews,https://www.arabnews.com/node/1828091/middle-east
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,1.000,,Not available,,Jordan,Middle East & North Africa,Upper middle income," 4,410.00 "," 44,542,115,024.96 "," 10,101,694.00 ",10.10,0.099,4.95%,,https://www.reuters.com/article/us-health-coronavirus-jordan-vaccine-idUSKBN2980IW
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,2.000,,Not available,,Jordan,Middle East & North Africa,Upper middle income," 4,410.00 "," 44,542,115,024.96 "," 10,101,694.00 ",10.10,0.198,9.90%,Details of the arrangement are few and the doses have only been reported by ArabNews,https://www.arabnews.com/node/1828091/middle-east
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,2.000,,19.50, 9.75 ,Kazakhstan,Europe & Central Asia,Upper middle income," 8,820.00 "," 163,361,260,005.36 "," 18,513,930.00 ",18.51,0.108,5.40%,"Deal between the Russian Direct Investment Fund and SK Pharmacy, the Kazakh government's pharmaceutical distributor. Pricing based on general statements from RDIF that that price/dose of 9.75 USD is ""the same for all markets.""",https://thediplomat.com/2020/08/kazakhstan-settles-deal-with-russia-for-vaccine-supply/ ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Research Institute for Biological Safety Problems,Kazakhstan,Phase 3,2,Government Purchase,Yes,,,0.050,,Not available,,Kazakhstan,Europe & Central Asia,Upper middle income," 8,820.00 "," 163,361,260,005.36 "," 18,513,930.00 ",18.51,0.003,0.14%,Kazakhstan started the roll out of its domestically produced QazVac vaccine in Apr 2021 with 0.05m doses sent to various parts. More doses are expected to be produced but the total doses purchased by the government has not been made public. Vaccine is still in Phase 2/3 trials.,https://www.reuters.com/business/healthcare-pharmaceuticals/kazakhstan-rolls-out-its-own-covid-19-vaccine-2021-04-27/
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,NA,,Not available,,Kazakhstan,Europe & Central Asia,Upper middle income," 8,820.00 "," 163,361,260,005.36 "," 18,513,930.00 ",18.51,#VALUE!,#VALUE!,,https://in.reuters.com/article/health-coronavirus-kazakhstan-pfizer-idINKBN2920UZ
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,1.000,,Not available,,Kazakhstan,Europe & Central Asia,Upper middle income," 8,820.00 "," 163,361,260,005.36 "," 18,513,930.00 ",18.51,0.054,2.70%,,https://www.reuters.com/business/healthcare-pharmaceuticals/kazakhstan-rolls-out-its-own-covid-19-vaccine-2021-04-27/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,3.000,Feb-21,Not available,,Kuwait,Middle East & North Africa,High income," 33,590.00 "," 138,985,371,643.86 "," 4,207,083.00 ",4.21,0.713,35.65%,,https://gulfnews.com/world/gulf/kuwait/kuwait-no-choosing-between-vaccines-health-officials-say-1.76376908 ; https://www.arabnews.com/node/1800566/middle-east
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,1.000,,Not available,,Kuwait,Middle East & North Africa,High income," 33,590.00 "," 138,985,371,643.86 "," 4,207,083.00 ",4.21,0.238,11.88%,,https://gulfnews.com/world/gulf/kuwait/covid-19-kuwait-to-get-1-million-pfizer-vaccines-doses-by-end-of-2020-1.75190616
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,No,R-Pharm,Russian Federation,1.500,Apr-21,Not available,,Lebanon,Middle East & North Africa,Upper middle income," 7,380.00 "," 50,560,914,393.79 "," 6,855,713.00 ",6.86,0.219,10.94%,Arrangement not yet finalized,https://www.moph.gov.lb/en/Pages/127/48209/
Gamaleya,Russian Federation,Approved,2,Private Purchase,Yes,,,1.000,Mar-21,9.75,9.75,Lebanon,Middle East & North Africa,Upper middle income," 7,380.00 "," 50,560,914,393.79 "," 6,855,713.00 ",6.86,0.146,7.29%,Not clear which company has purchased these vaccines for sale in Lebanon. The vaccine will be sold to individuals in Lebanon at a price of 38 USD for the two doses. Total price based on reports that Gamaleya is charging 9.75/dose in all markets.,https://apnews.com/article/lebanon-coronavirus-pandemic-russia-financial-markets-coronavirus-vaccine-b81a58fa49d276315c5b6fed0ef8fe53
Gamaleya,Russian Federation,Approved,2,Government Purchase,No,,,1.000,,9.75, 9.75 ,Lebanon,Middle East & North Africa,Upper middle income," 7,380.00 "," 50,560,914,393.79 "," 6,855,713.00 ",6.86,0.146,7.29%,Arrangement not yet finalized,https://www.moph.gov.lb/en/Pages/127/48209/
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,2.100,,37.80, 18.00 ,Lebanon,Middle East & North Africa,Upper middle income," 7,380.00 "," 50,560,914,393.79 "," 6,855,713.00 ",6.86,0.306,15.32%,Price based price/dose reported by Lebanese lawmaker. To be financed primarily by a World Bank loan.,https://www.reuters.com/article/idUSKBN29213T ; https://www.arabnews.com/node/1794071/middle-east
Gamaleya,Russian Federation,Approved,2,Government Purchase,Unclear,,,0.100,,0.98, 9.75 ,Libya,Middle East & North Africa,Upper middle income," 7,640.00 "," 51,755,222,833.29 "," 6,777,452.00 ",6.78,0.015,0.74%,A delivery of 0.1m doses has been reported. African Weekly mentions that it is unclear if the doses have already been paid for. XinhuaNet mentions that Libya expects a total of 5m doses but this is not reported anywhere else.,https://thearabweekly.com/libya-finally-receives-first-covid-vaccines ; http://www.xinhuanet.com/english/africa/2021-04/05/c_139858648.htm
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,NA,,Not available,,"Macao SAR, China",East Asia & Pacific,High income, .. ," 49,673,360,578.64 "," 640,445.00 ",0.64,#VALUE!,#VALUE!,"Final doses secured is unclear, but official sources state that this is one of the 3 vaccines made available in the country. No information is doses is available yet.",https://www.ssm.gov.mo/apps1/covid19vaccine/en.aspx#clg18772
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,Fosun Pharma,China,NA,,Not available,,"Macao SAR, China",East Asia & Pacific,High income, .. ," 49,673,360,578.64 "," 640,445.00 ",0.64,#VALUE!,#VALUE!,"Final doses secured is unclear, but official sources state that this is one of the 3 vaccines made available in the country. Fosun's official press release mentions that deal may include up to 40m doses.",https://www.ssm.gov.mo/apps1/covid19vaccine/en.aspx#clg18772 ; https://www.fosunpharma.com/en/news/news-details-3828.html
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.100,,Not available,,"Macao SAR, China",East Asia & Pacific,High income, .. ," 49,673,360,578.64 "," 640,445.00 ",0.64,0.156,7.81%,"Final doses secured is unclear, but official sources state that this is one of the 3 vaccines made available in the country. Macau has already received 0.1m doses",https://www.ssm.gov.mo/apps1/covid19vaccine/en.aspx#clg18772
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,6.400,,Not available,,Malaysia,East Asia & Pacific,Upper middle income," 11,230.00 "," 358,835,301,422.96 "," 31,949,777.00 ",31.95,0.200,10.02%,"Pricing is unclear, but it has been reported that Malaysia is expected to spend 504.4 million USD on all vaccine deals",https://www.reuters.com/article/health-coronavirus-malaysia/malaysia-buys-astrazeneca-covid-19-vaccines-seeks-more-from-china-russia-idUSKBN28W09K
CanSino Biologics,China,Approved,1,Government Purchase,Yes,,,3.500,,Not available,,Malaysia,East Asia & Pacific,Upper middle income," 11,230.00 "," 358,835,301,422.96 "," 31,949,777.00 ",31.95,0.110,10.95%,,https://www.reuters.com/article/health-coronavirus-malaysia/malaysia-buys-astrazeneca-covid-19-vaccines-seeks-more-from-china-russia-idUSKBN28W09K
Gamaleya,Russian Federation,Approved,2,Combination,Yes,Duopharma,Malaysia,6.400,From March 2021,62.40, 9.75 ,Malaysia,East Asia & Pacific,Upper middle income," 11,230.00 "," 358,835,301,422.96 "," 31,949,777.00 ",31.95,0.200,10.02%,"Pricing based on general statements from RDIF that that price/dose of 9.75 USD is ""the same for all markets."" Duopharma will conduct fill-and-finish and distribution.",https://www.reuters.com/article/us-health-coronavirus-malaysia-vaccines/malaysia-secures-18-4-million-doses-of-russian-chinese-covid-19-vaccines-idUSKBN29V11H ; https://www.reuters.com/article/health-coronavirus-malaysia/malaysia-buys-astrazeneca-covid-19-vaccines-seeks-more-from-china-russia-idUSKBN28W09K ; https://www.reuters.com/article/us-health-coronavirus-malaysia-vaccines-idUSKBN29V11H ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,32.000,,Not available,,Malaysia,East Asia & Pacific,Upper middle income," 11,230.00 "," 358,835,301,422.96 "," 31,949,777.00 ",31.95,1.002,50.08%,"Most recent update from March says Malaysia is buying additional doses, bringing its total to 32m",https://www.reuters.com/article/us-health-coronavirus-malaysia-vaccine/malaysia-to-buy-more-pfizer-biontech-vaccine-doses-bringing-total-secured-to-32-million-idUSKBN2B00DU ; https://www.theedgemarkets.com/article/khairy-govts-covid19-vaccine-deal-only-pfizer-and-covax-others-are-private-arrangements ; https://www.reuters.com/article/idUSL1N2ID0FL
Sinovac,China,Approved,2,Government Purchase,Yes,Pharmaniaga Berhad [distributor],,0.200,Mar-21,Not available,,Malaysia,East Asia & Pacific,Upper middle income," 11,230.00 "," 358,835,301,422.96 "," 31,949,777.00 ",31.95,0.006,0.31%,Pharmaniaga Berhad will import the finished doses and supply to the govt. This is separate from the existing manufacturing agreement,https://www.theedgemarkets.com/article/pharmaniaga-inks-agreement-govt-distribute-200000-imported-finished-sinovac-covid19-vaccines
Sinovac,China,Approved,2,Combination,Yes,Pharmaniaga Berhad,Malaysia,12.000,From April 2021,Not available,,Malaysia,East Asia & Pacific,Upper middle income," 11,230.00 "," 358,835,301,422.96 "," 31,949,777.00 ",31.95,0.376,18.78%,"Pharmaniaga will conduct fill-and-finish at first, then manufacture locally. Pharmaniaga has signed a deal for 14m doses, but the deal for sale to the government is for 12m; not clear what is happening with remaining 2m doses.",https://www.reuters.com/article/us-health-coronavirus-malaysia-vaccines/malaysia-secures-18-4-million-doses-of-russian-chinese-covid-19-vaccines-idUSKBN29V11H; https://www.reuters.com/article/health-coronavirus-malaysia/malaysia-buys-astrazeneca-covid-19-vaccines-seeks-more-from-china-russia-idUSKBN28W09K ; https://www.reuters.com/article/us-health-coronavirus-malaysia-sinovac-idUSKBN29H0M5
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,0.700,,Not available,,Maldives,South Asia,Upper middle income," 9,680.00 "," 5,137,430,107.16 "," 530,953.00 ",0.53,1.318,65.92%,,https://covid19.health.gov.mv/vaccination/?c=0
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,0.101,Feb-21,Not available,,Mauritius,Sub-Saharan Africa,High income," 12,900.00 "," 16,322,003,287.70 "," 1,265,711.00 ",1.27,0.080,3.99%,,https://www.mea.gov.in/vaccine-supply.htm
Bharat Biotech,India,Approved,2,Government Purchase,Yes,,,0.200,Mar-21,Not available,,Mauritius,Sub-Saharan Africa,High income," 12,900.00 "," 16,322,003,287.70 "," 1,265,711.00 ",1.27,0.158,7.90%,,https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,2.030,,8.12, 4.00 ,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.016,0.80%,2.03m doses confirmed by the govt source. Total price based on price/dose provided by the government source,https://www.gob.mx/sre/prensa/mexico-receives-shipment-of-870-000-doses-of-sars-cov-2-vaccine ; https://www.financialexpress.com/lifestyle/health/vaccine-maitri-diplomacy-more-latin-american-countries-to-get-covid-vaccine-doses-from-india/2194625/ ; https://thefederal.com/covid-19/mexico-to-import-8-7l-doses-of-serum-vaccine-from-india-says-president/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,77.400,,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.607,30.33%,,https://uk.reuters.com/article/us-health-coronavirus-mexico-vaccine/mexico-aims-to-vaccinate-vast-bulk-of-population-for-covid-19-by-end-2021-idINKBN26Y1R9
CanSino Biologics,China,Approved,1,Government Purchase,Yes,,,35.000,,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.274,27.43%,CanSino is a one-dose vaccine,https://uk.reuters.com/article/us-health-coronavirus-mexico-vaccine/mexico-aims-to-vaccinate-vast-bulk-of-population-for-covid-19-by-end-2021-idINKBN26Y1R9
Curevac,Germany,Phase 3,2,Government Purchase,No,,,35.000,Apr-21,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.274,13.72%,,https://www.reuters.com/article/health-coronavirus-mexico-vaccine/mexico-weighing-vaccine-proposals-from-moderna-four-other-companies-idUSKBN28P23K
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,Landsteiner Pharmaceutical [distributor],Mexico,24.000,From November 2020,312.00, 9.75 ,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.188,9.41%,"Purchase agreement has been confirmed by the Mexican government and they have started receiving delivery of the vaccine. Earlier, Mexico's health ministry had denied that any deal had been reached (see second link). Pricing based on general statements from RDIF that that price/dose of 9.75 USD is ""the same for all markets."" There is some suggestion that there were separate agreements betweeen RDIF and Landsteiner for 32 m, followed by an agreement between Mexico and Landsteiner for 24m.",https://www.fdanews.com/articles/198943-landsteiner-scientific-to-distribute-russias-covid-19-vaccine-in-mexico ; https://www.theyucatantimes.com/2020/09/ministry-of-health-denies-arrival-of-sputnik-v-vaccine-in-mexico/ ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7 ; https://www.urdupoint.com/en/world/rdif-provides-mexico-with-sputnik-v-vaccine-d-1111758.html ; https://www.gob.mx/sre/prensa/mexico-continues-its-strategy-of-securing-purchase-agreements-for-covid-19-vaccines?idiom=en ; https://www.gob.mx/sre/prensa/the-government-of-mexico-receives-first-200-000-doses-of-sputnik-v-covid-19-vaccine-from-russia
Moderna,United States,Approved,2,Government Purchase,No,,,39.000,Apr-21,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.306,15.29%,,https://uk.reuters.com/article/health-coronavirus-mexico-vaccine/mexico-says-has-accord-with-pfizer-for-34-4-mln-coronavirus-vaccines-idUSS0N2EF00D
Novavax,United States,Phase 3,2,Government Purchase,No,,,10.000,Beginning June 2021,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.078,3.92%,,https://www.reuters.com/article/health-coronavirus-mexico-vaccine/mexico-weighing-vaccine-proposals-from-moderna-four-other-companies-idUSKBN28P23K
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,34.400,,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.270,13.48%,,https://uk.reuters.com/article/health-coronavirus-mexico-vaccine/mexico-says-has-accord-with-pfizer-for-34-4-mln-coronavirus-vaccines-idUSS0N2EF00D
Sinovac,China,Approved,2,Government Purchase,Yes,,,20.000,Jan-21,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.157,7.84%,"Sinovac has been approved and deliveries have already started. Earlier govt press release mentioned 10m doses, but the govt has now secured an additional 10m",https://www.gob.mx/sre/en/articulos/mexico-accelerates-national-vaccination-plan-will-receive-22-million-additional-doses-of-sinovac-and-sinopharm-vaccines-266424 ; https://www.gob.mx/sre/prensa/mexico-continues-its-strategy-of-securing-purchase-agreements-for-covid-19-vaccines?idiom=en ; https://www.reuters.com/article/health-coronavirus-mexico-vaccine/mexico-weighing-vaccine-proposals-from-moderna-four-other-companies-idUSKBN28P23K
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,12.000,Mar-21,Not available,,Mexico,Latin America & Caribbean,Upper middle income," 9,480.00 "," 1,209,833,679,979.64 "," 127,575,529.00 ",127.58,0.094,4.70%,,https://www.gob.mx/sre/en/articulos/mexico-accelerates-national-vaccination-plan-will-receive-22-million-additional-doses-of-sinovac-and-sinopharm-vaccines-266424 ; https://www.gob.mx/sre/prensa/mexico-continues-its-strategy-of-securing-purchase-agreements-for-covid-19-vaccines?idiom=en ; https://www.reuters.com/article/health-coronavirus-mexico-vaccine/mexico-weighing-vaccine-proposals-from-moderna-four-other-companies-idUSKBN28P23K
Sinovac,China,Approved,2,Government Purchase,Yes,,,0.400,,Not available,,Moldova,Europe & Central Asia,Lower middle income," 4,590.00 "," 12,194,849,955.35 "," 2,657,637.00 ",2.66,0.151,7.53%,,https://www.reuters.com/article/health-coronavirus-moldova-sinovac/moldova-to-buy-400000-doses-of-sinovac-covid-19-vaccine-idUSL8N2M24JT
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,0.300,Starting April 2021,Not available,,Mongolia,East Asia & Pacific,Lower middle income," 3,790.00 "," 12,234,606,441.32 "," 3,225,167.00 ",3.23,0.093,4.65%,"Total doses purchased is unavailable, but 0.2m doses have been delivered so far.","http://www.xinhuanet.com/english/asiapacific/2021-04/03/c_139855478.htm#:~:text=ULAN%20BATOR%2C%20April%202%20(Xinhua,of%20the%20COVID%2D19%20pandemic."
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,1.000,,9.75,9.75,Mongolia,East Asia & Pacific,Lower middle income," 3,790.00 "," 12,234,606,441.32 "," 3,225,167.00 ",3.23,0.310,15.50%,"Latest article (May 2021) confirms the purchase. Announced on the Ministry of Foreign Affairs' facebook page. Separately, 0.02m doses are said to have already been delivered in 2 batches, but the details of this are unclear. Total price based on general statements from RDIF that 9.75 USD/dose was being charged in all markets. ",https://thediplomat.com/2021/05/how-mongolia-made-the-most-of-vaccine-diplomacy/ ; https://montsame.mn/en/read/258285 ; https://montsame.mn/en/read/255213
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,No,,,0.080,,Not available,,Montenegro,Europe & Central Asia,Upper middle income," 9,060.00 "," 5,634,418,849.95 "," 622,137.00 ",0.62,0.129,6.43%,Negotiations are ongoing as reported by govt sources,https://www.gov.me/en/News/239582/5-000-Sputnik-V-vaccines-arrive-in-Montenegro.html
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,0.250,,2.44,9.75,Montenegro,Europe & Central Asia,Upper middle income," 9,060.00 "," 5,634,418,849.95 "," 622,137.00 ",0.62,0.402,20.09%,,https://www.reuters.com/article/health-coronavirus-bosnia-vaccine-idCNL8N2LF368 ; https://tass.com/society/1255529
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,No,,,0.150,,Not available,,Montenegro,Europe & Central Asia,Upper middle income," 9,060.00 "," 5,634,418,849.95 "," 622,137.00 ",0.62,0.241,12.06%,Negotiations are ongoing as reported by govt sources,https://www.gov.me/en/News/239582/5-000-Sputnik-V-vaccines-arrive-in-Montenegro.html
Sinopharm/Beijing,China,Approved,2,Government Purchase,No,,,0.150,,Not available,,Montenegro,Europe & Central Asia,Upper middle income," 9,060.00 "," 5,634,418,849.95 "," 622,137.00 ",0.62,0.241,12.06%,Negotiations are ongoing as reported by govt sources,https://www.gov.me/en/News/239582/5-000-Sputnik-V-vaccines-arrive-in-Montenegro.html
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,7.000,Starting Jan 2021,Not available,,Morocco,Middle East & North Africa,Lower middle income," 3,190.00 "," 118,595,318,226.58 "," 36,471,769.00 ",36.47,0.192,9.60%,"Total quantity of deal not reported, but total AZ purchase for 25 million, split between R-Pharm and SI. So far, SI has delivered 7m doses",https://www.reuters.com/article/us-health-coronavirus-morocco/morocco-gets-2-million-astrazeneca-vaccine-doses-first-big-shipment-to-africa-idUSKBN29R1O4 ; https://www.mea.gov.in/vaccine-supply.htm
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,R-Pharm,Russia,NA,,Not available,,Morocco,Middle East & North Africa,Lower middle income," 3,190.00 "," 118,595,318,226.58 "," 36,471,769.00 ",36.47,#VALUE!,#VALUE!,"Total quantity of deal not reported, but total AZ purchase for 25 million, split between R-Pharm and SI. So far, SI has delivered 7m doses",https://www.reuters.com/article/health-coronavirus-morocco-vaccine-idUSL8N2GF4TD
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,1.000,Mar-21,9.75, 9.75 ,Morocco,Middle East & North Africa,Lower middle income," 3,190.00 "," 118,595,318,226.58 "," 36,471,769.00 ",36.47,0.027,1.37%,Price based on Gamaleya's statement that the vaccine is being sold in all markets for 9.75 USD/dose.,https://www.efe.com/efe/espana/sociedad/marruecos-consolida-el-exito-de-su-campana-vacunacion-sumando-la-sputnik-v/10004-4485406 ; https://www.reuters.com/article/us-health-coronavirus-morocco-vaccines/morocco-expects-4-2-million-covid-19-vaccine-doses-soon-officials-say-idUSKBN2BI1PK
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,41.000,,Not available,,Morocco,Middle East & North Africa,Lower middle income," 3,190.00 "," 118,595,318,226.58 "," 36,471,769.00 ",36.47,1.124,56.21%,,https://www.reuters.com/article/us-health-coronavirus-morocco/morocco-gets-2-million-astrazeneca-vaccine-doses-first-big-shipment-to-africa-idUSKBN29R1O4
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,30.000,Feb-21,Not available,,Myanmar,East Asia & Pacific,Lower middle income," 1,390.00 "," 75,186,226,008.59 "," 54,045,420.00 ",54.05,0.555,27.75%,,https://www.reuters.com/article/health-coronavirus-myanmar-vaccine/refile-myanmar-launches-vaccination-drive-prioritises-frontline-healthcare-workers-idUSL4N2K13DT
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,2.000,Feb-21,8.00, 4.00 ,Nepal,South Asia,Lower middle income," 1,090.00 "," 31,058,955,972.26 "," 28,608,710.00 ",28.61,0.070,3.50%,Both total price and prise/dose reported. ,https://kathmandupost.com/health/2021/02/16/cabinet-clears-way-for-procuring-2-million-doses-of-covid-19-vaccine-from-india
Bharat Biotech,India,Approved,2,Private Purchase,No,,,0.500,,Not available,,Nepal,South Asia,Lower middle income," 1,090.00 "," 31,058,955,972.26 "," 28,608,710.00 ",28.61,0.017,0.87%,Private firm Emerald Pharma has applied for import permissions; intends to sell on the private market for equivalent of 21.60 USD/dose,https://kathmandupost.com/health/2021/03/31/private-firm-seeks-permit-to-import-sell-indian-vaccine
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,Trinity Pharmaceuticals [distributor],Nepal,25.000,,243.75, 9.75 ,Nepal,South Asia,Lower middle income," 1,090.00 "," 31,058,955,972.26 "," 28,608,710.00 ",28.61,0.874,43.69%,"Pricing based on general statements from RDIF that that price/dose of 9.75 USD is ""the same for all markets.""",https://www.prnewswire.com/in/news-releases/rdif-and-trinity-pharmaceuticals-agree-to-supply-25-million-doses-of-sputnik-v-vaccine-to-nepal-831421653.html ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,,,7.600,,Not available,,New Zealand,East Asia & Pacific,High income," 42,760.00 "," 210,229,497,186.83 "," 4,917,000.00 ",4.92,1.546,77.28%,,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-response-planning/covid-19-vaccine-planning#purchase
Johnson & Johnson,United States/Belgium,Approved,1,Government Purchase,Yes,,,2.000,Q3 2021,Not available,,New Zealand,East Asia & Pacific,High income," 42,760.00 "," 210,229,497,186.83 "," 4,917,000.00 ",4.92,0.407,40.68%,Agreement in principle. Option to purchase an additional 3m,https://www.rnz.co.nz/news/national/430934/covid-19-government-agrees-in-principle-to-buy-janssen-pharmaceutica-vaccines
Novavax,United States,Phase 3,2,Government Purchase,Yes,,,10.720,Mid-2021,Not available,,New Zealand,East Asia & Pacific,High income," 42,760.00 "," 210,229,497,186.83 "," 4,917,000.00 ",4.92,2.180,109.01%,,https://ir.novavax.com/news-releases/news-release-details/novavax-announces-agreement-government-new-zealand-107-million
Pfizer/BioNTech,United States/Germany,Approved,2,Government Purchase,Yes,,,10.000,,Not available,,New Zealand,East Asia & Pacific,High income," 42,760.00 "," 210,229,497,186.83 "," 4,917,000.00 ",4.92,2.034,101.69%,Initial agreement for 1.5m doses. An additional 8.5m doses purchased in March 2021,https://www.reuters.com/article/us-health-coronavirus-newzealand/new-zealand-to-buy-enough-pfizer-covid-19-vaccines-for-entire-population-idUSKBN2B008J ; https://www.reuters.com/article/us-health-coronavirus-newzealand/new-zealand-signs-deal-with-pfizer-biontech-for-covid-19-vaccine-idUKKBN26X0AA
