Vaccine candidate,Developer Location,Trial Phase,1 or 2 doses,Deal Type,Finalized Commitment,Manufacturer and/or Distributor,Manufacturer and/or Distributor Primary Location,Doses committed (in millions),Timeline at time of deal,Price (in USD million), Price/Dose (in USD) ,Buyer/recipient,Region,Income level," GNI per capita, Atlas method (current US$) "," GNI, Atlas method (current US$) ", Population ,Population size (millions),Doses/capita,Population covered,Notes,Sources
Johnson & Johnson,United States/Belgium,Approved,1,Government Purchase,No,,,15.000,,52.50, 3.50 ,Bolivia,Latin America & Caribbean,Lower middle income," 3,520.00 "," 40,563,574,718.82 "," 11,513,100.00 ",11.51,1.303,130.29%,"Bolovia's agreement is conditional on WTO's patent waiver, and that the Canadian manufacturer Biolyse Pharma Corp would make the doses. Not listed as manufacturer since the patent waiver has not been approved to date. Total price based on estimate that the medicine would cost between 3 and 4 USD per dose (3.5 USD used here for calculations).",https://www.reuters.com/world/americas/bolivia-signs-jj-vaccine-deal-with-twist-someone-else-would-make-it-2021-05-11/
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,0.500,,4.89,9.75,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income," 6,170.00 "," 20,375,253,236.72 "," 3,301,000.00 ",3.30,0.151,7.57%,Price based on Gamaleya's statement that the vaccine is being sold in all markets for 9.75 USD/dose.,https://www.reuters.com/article/health-coronavirus-bosnia-vaccine-idCNL8N2LF368
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,0.400,,3.90, 9.75 ,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income," 6,170.00 "," 20,375,253,236.72 "," 3,301,000.00 ",3.30,0.121,6.06%,Purchase by Bosnia's autonomous Serb dominated region. Price based on Gamaleya's statement that the vaccine is being sold in all markets for 9.75 USD/dose.,https://www.reuters.com/article/health-coronavirus-bosnia-vaccines/bosnia-begins-covid-19-vaccination-roll-out-with-russian-vaccine-idUSL8N2KI2RI
Sinopharm/Beijing,China,Approved,2,Government Purchase,Yes,,,NA,,Not available,,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income," 6,170.00 "," 20,375,253,236.72 "," 3,301,000.00 ",3.30,#VALUE!,#VALUE!,Doses purchased is unknown. Bosnia announced in Jan that it plans to purchase the Sinopharm vaccine. A purchase order has only been reported by one Xinhuanet,http://www.xinhuanet.com/english/europe/2021-02/09/c_139732362.htm
Sinovac,China,Approved,2,Government Purchase,Yes,,,0.200,,Not available,,Botswana,Sub-Saharan Africa,Upper middle income," 7,650.00 "," 17,629,591,427.69 "," 2,303,697.00 ",2.30,0.087,4.34%,"Botswana has also received a donation of 200,000 doses from China.",https://africa.cgtn.com/2021/04/23/botswana-to-receive-donation-of-covid-19-vaccines-from-china/
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Government Purchase,Yes,Serum Institute,India,12.000,Early Jan 2021,Not available,,Brazil,Latin America & Caribbean,Upper middle income," 9,130.00 "," 1,926,332,314,781.08 "," 211,049,527.00 ",211.05,0.057,2.84%,"Part of a diplomatic push, the deal is made through the govt of India, where Brazil is apparently getting a 'special price'. Brazil is reported to be a sending a plane to India to expedite the delivery of shots so it can start its mass vaccination program. But the shipment was delayed due to export approval issues from the Indian govt. Further 10m doses negotiated since then.",https://www.bio.fiocruz.br/index.php/br/noticias/2218-2-milhoes-de-doses-devem-estar-liberados-na-madrugada-desta-quarta; https://www.reuters.com/article/health-coronavirus-brazil-astrazeneca/brazil-sends-plane-to-obtain-2-million-doses-of-astrazenecas-covid-19-vaccine-idUSL1N2JO1P3 ; https://www.reuters.com/article/us-health-coronavirus-brazil-india/brazil-scrambles-for-india-made-vaccines-to-jumpstart-inoculations-idUSKBN2991IJ
AstraZeneca/Oxford,United Kingdom/Sweden,Approved,2,Combination,Yes,Fiocruz,Brazil,260.400,,942.65, 3.62 ,Brazil,Latin America & Caribbean,Upper middle income," 9,130.00 "," 1,926,332,314,781.08 "," 211,049,527.00 ",211.05,1.234,61.69%,"Initial deal for 30m finished doses and 70m unfinished doses to be finished by Fiocruz and provided at no cost estimated at 127m USD. Later licensing and purchasing deal for 100 m doses was set at 362 m USD, although not confirmed by Brazil or AstraZeneca. Deal later increased to 260.4m doses; price scaled up based on estimate for the 100m doses.",https://www.gov.br/saude/pt-br/assuntos/noticias/governo-federal-ja-garantiu-300-milhoes-de-doses-de-vacinas-contra-a-covid-19-para-2021 ; https://www.aljazeera.com/news/2021/1/4/brazil-scrambles-to-secure-covid-vaccine-from-india; https://www.fiercepharma.com/manufacturing/astrazeneca-to-supply-millions-covid-19-shot-to-brazilian-government-swamped-by-new ; https://s3.amazonaws.com/one.org/vaccine-access-test/ONE_VAT_deal_AstraZeneca_Brazil_August_11.pdf
Bharat Biotech,India,Approved,2,Private Purchase,No,,,5.000,,Not available,,Brazil,Latin America & Caribbean,Upper middle income," 9,130.00 "," 1,926,332,314,781.08 "," 211,049,527.00 ",211.05,0.024,1.18%,Purchase deal reached with private clinics in Brazil - the Brazilian Association of Vaccine Clinics.,"https://www.reuters.com/article/us-health-coronavirus-brazil-vaccine/brazilian-clinics-to-buy-indias-covaxin-vaccine-pending-approval-idUSKBN29I214 ; https://www.reuters.com/article/us-health-coronavirus-brazil-india/brazil-scrambles-for-india-made-vaccines-to-jumpstart-inoculations-idUSKBN2991IJ
"
Bharat Biotech,India,Approved,2,Government Purchase,Terminated,Precisa Medicamentos [distributor],Brazil,20.000,,286.00, 14.30 ,Brazil,Latin America & Caribbean,Upper middle income," 9,130.00 "," 1,926,332,314,781.08 "," 211,049,527.00 ",211.05,0.095,4.74%,"Import rejected by Brazilian regulator ANVISA. The Brazilian govt announced the contract on 25 Feb. Price/dose based on reported total price. However, one day later Reuters reported that Brazilian prosecutors are asking to suspend the deal as the phase 3 trial data is not publicly available yet. The nature of this deal is somewhat unclear. Some reporting is suggestive that the arrangement is a private purchase between Precisa Medicamentos, a Brazilian wholesaler, and Bharat Biotech. However, Brazilian government sources suggest that this is a purchase from the Brazilian govenrment to Bharat, with Precisa acting as an intermediary based on national laws requiring such an intermediary distributor. ",https://www.reuters.com/article/us-health-coronavirus-brazil-bharat/brazils-anvisa-rejects-bid-to-import-bharat-biotech-vaccine-idUSKBN2BN3P0 ; https://www.reuters.com/article/health-coronavirus-brazil-india/update-1-brazil-prosecutors-seek-to-stop-purchase-of-indian-vaccine-idUSL1N2KW2OK; https://www.business-standard.com/article/current-affairs/bharat-biotech-signs-deal-with-brazilian-wholesaler-to-supply-covaxin-121011201290_1.html; https://www.bharatbiotech.com/images/press/bharat-biotech-signs-agreement-with-precisa-medicamentos-for-supply-of-covaxin-to-brazil.pdf; https://www.thehindu.com/business/Industry/bharat-biotech-to-supply-covaxin-to-brazil/article33561421.ece ; https://www.gov.br/saude/pt-br/assuntos/noticias/ministerio-da-saude-comeca-minuta-de-contrato-para-adquirir-vacina-de-laboratorio-indiano ; https://www.gov.br/saude/pt-br/assuntos/noticias/saude-aguarda-informacoes-de-fornecedoras-russa-e-indiana-para-avancar-em-negociacoes ; https://www.precisamedicamentos.com.br/
Gamaleya,Russian Federation,Approved,2,Government Purchase,Yes,,,50.000,,487.50, 9.75 ,Brazil,Latin America & Caribbean,Upper middle income," 9,130.00 "," 1,926,332,314,781.08 "," 211,049,527.00 ",211.05,0.237,11.85%,Deal between the Russian Direct Investment Fund (Russia's sovereign wealth fund) and Bahia state in Brazil. ,"https://rdif.ru/Eng_fullNews/5783/, https://www.reuters.com/article/us-health-coronavirus-russia-brazil-idUSKBN2613NH ; https://www.ft.com/content/ffe40c7d-c418-4a93-a202-5ee996434de7"
